wooooo,1
the streamer loot is wild,0
!subcount,0
Currently there are 98260 Ninjas subscribed to the channel,0
@Ninja Go Furry instead.,0
xbox is better than ps4... change my mind,1
ninjaFan ninjaFan ninjaFan ninjaFan,1
!subcount,0
streamer loot,1
So this is confirmed a skin in ninjas honor or??,0
Adam Savage would love to do that w/ u,0
??????????????????????????,1
What is this loot,0
Oh my loot,0
@killer_kitty_stephens email his business email,0
??,0
ninja,-1
Ninja was diagnosed with tugma Tugma balls,1
Join the discord,-1
solomonli just subscribed with Twitch Prime!,1
Y’all realize only like 30% of pc players are good lol the rest are bots,0
What do you think of the panda team leader @ninja,0
ssjshayan just subscribed with Twitch Prime!,0
thats my ideal loadout,0
I do have Xbox,1
!subcount,0
ill duos,0
you to skinny for cosplay,1
@bfchurn11 ps4 is better,-1
I know some people yah,-1
LOOT? HELLO???,1
ninjaPon ninjaPon ninjaPon ninjaPon ninjaPon ninjaPon ninjaPon,0
ninjaPon,0
Medievalry just subscribed with Twitch Prime!,0
seanhorkan2345 just subscribed with Twitch Prime!,-1
ninjaBlast1 ninjaBlast2 ninjaBlast3,1
Yes look at https,0
@Killerops120 -> Questionable judgement. [stop posting links,1
ninjaAim,0
Narancs97HUN just subscribed with Twitch Prime!,0
m3ga5tay just subscribed with Twitch Prime!,0
ninjaCRINJA,1
ryhno2554 just subscribed with Twitch Prime!,0
ligmia,0
lol,0
Im on console and I’ve destroyed so many pc players,0
shelgor325 just subscribed with a Tier 1 sub. shelgor325 subscribed for 5 months in a row!,0
/me Support the stream with a FREE SUBSCRIPTION! Link an Amazon Prime to your Twitch account - twitch.amazon.com/prime ninjaPrime ninjaPrime Click subscribe to check if a free prime sub is available to use!,0
lmao shut up console noobs LUL,0
ballisticbutter05 just subscribed with Twitch Prime!,0
Man ninja you killed myth twice,0
PS4 doesn't have true 4K,0
@black_hammer331 ok and compared to console?,0
its 2,1
ninjaIQ ninjaIQ ninjaIQ ninjaIQ ninjaIQ ninjaIQ ninjaIQ,0
triggered,0
yes look at my buddy cave8theman,0
gasflamer just subscribed with Twitch Prime!,1
TheGriizlyBear just subscribed with Twitch Prime. TheGriizlyBear subscribed for 6 months in a row!,0
why you bully me ninjaS ninjaTroll,-1
"u realize like 1% of console players are close to pc players, and 99% are bots",1
bendystraw26 just subscribed with Twitch Prime!,0
@hero_twitch5 Happy Sunday?,1
I said it in stream the other day that this stream with the katana was gonna be your favorite skin 10000000000% @Ninja,0
just subbed,0
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,0
ninjaWifey ninjaWifey ninjaWifey,1
ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey ninjaWifey,1
ninjaWifey,0
